evolution$generation,probaMove,probaBirth,probaDeath,probaDeathByOvercrowding,initialPopulation,popObj,occupiedObj,evolution$samples
1051,0.9164748370709577,0.3442818460411736,0.3460741280971853,0.39651340689199466,18.99458676432738,999999.0,0.999731255038968,10
1051,0.7666343601886685,0.9,0.146260658915285,0.0,72.7794017315319,701352.0,0.9610319806503628,1
1051,1.0,0.5513516846881263,0.0,0.2943793916853835,5.092680221340791,851296.0,0.008062348830959465,1
1051,1.0,1.0,0.0,0.3702008590148418,1.0,842051.0,0.00913732867508732,5
1051,0.8459517876499274,1.0,0.17498217663625132,0.0,100.0,716458.0,0.9626444504165547,3
1051,1.0,0.4693890832245333,0.03853784190690847,0.0,51.53675660322398,742264.0,0.9427573233001881,4
1051,0.8532059912820485,0.330899664962079,0.0,0.0,4.27193923555522,752976.0,0.9346949744692287,1
1051,0.8396043804346878,0.6236819725135473,0.17893155875366826,0.0010657643267738687,82.40664116956492,785453.0,0.916957807041118,1
1051,0.999787990850091,1.0,0.0,0.5365925409890113,10.503999304745072,815688.0,0.009271701155603385,2
1051,0.963467624789495,0.7556321219018474,0.0012117111888573816,0.5221462249675957,7.322713073960138,821959.5,0.009809191077667312,4
1051,0.8620733307106856,0.8220498309744134,0.0,0.5705041673793697,25.711476116257483,808598.5,0.009674818597151302,2
1051,1.0,0.694603672462943,0.260097302290602,0.0,100.0,769906.5,0.9269013705993012,2
1051,0.8984111614681062,0.7848340526946915,0.17098492914266142,0.0,100.0,704840.0,0.9484009674818598,1
1051,0.9680909008627133,0.6240933988635337,0.005251266268026571,0.5741981149207788,100.0,833709.5,0.009137328675087375,2
1051,1.0,0.5818767943037597,1.0359781258614158E-4,0.230004192293492,1.0,805712.0,0.008599838753023392,1
1051,1.0,0.10437890843298248,0.0,0.0,1.0,787593.0,0.8023380811609783,2
1051,0.9984886750031796,0.6899580969117641,0.052675656853846585,0.03282778959682935,99.89198740024652,792780.0,0.6468691212039774,3
1051,1.0,0.9968782419611192,0.0,0.26297772978199774,1.0,824539.0,0.008331093791991373,1
1051,1.0,1.0,0.014646947564008096,0.049486086989554263,61.12638607184847,794200.0,0.40741736092448266,1
1051,0.971781516504519,0.8351516338299408,0.0,0.18642850721800616,1.0,796604.0,0.2101585595270089,3
1051,0.9999999999999999,0.9968782419611194,0.0,0.26297772978199774,1.0,799975.0,0.00913732867508732,1
1051,0.9226218193875665,0.6299552277694891,0.0011983190114692268,0.03914147859354147,14.744794902569001,792194.0,0.6353130878796023,1
1051,0.9732963554195776,0.8354670791161298,0.0,0.18397782224359674,24.88154624283552,795401.0,0.1977962913195378,1
1051,1.0,0.8405030697936435,0.055570948079760735,0.13621756219790357,65.68527171051302,796773.0,0.07309862940069878,1
1051,0.8294401465980676,0.6345369617996932,0.0,0.4453269358807503,1.0,799559.0,0.012631013168503125,1
1051,0.8760938412732621,1.0,0.0,0.5422587337193115,6.113859938996136,799870.0,0.009406073636119339,1
1051,0.8617180868942789,0.938472053124791,0.09574649199120093,0.46581084198470346,1.0,799394.5,0.014512227895726926,2
1051,0.7957018875810624,0.6529429609770422,0.1393348649494781,0.3306233000416497,98.47286077256494,799338.0,0.06423004568664342,4
1051,0.9776890053143543,0.9078551970500337,0.0,0.2834574054854127,1.0,797104.0,0.11287288363343184,3
1051,1.0,0.7286958869910175,0.0018510134509713133,0.14442882278959387,2.9741174259663965,797267.5,0.06973931738779898,2
1051,0.8016687277938783,1.0,0.0,0.29012759734053684,100.0,798761.5,0.15869389948938462,4
1051,1.0,0.8291367119891002,0.013395046653399459,0.11781024840786108,61.76057839631384,796636.0,0.14592851384036554,1
1051,0.9681751175046533,0.5384680035340454,0.0,0.33304754976985457,18.161146599225585,797820.0,0.027949475947325997,1
1051,0.9532918441079472,0.8724435463523963,0.0020960281865834802,0.40808284330841477,8.77732405183358,798305.0,0.030368180596613836,3
1051,1.0,0.8291367119891002,0.013395046653399459,0.11781024840786108,61.84759011506384,798222.0,0.09137328675087342,3
1051,0.8526631728194015,0.41470264098858756,0.0,0.36704104019128314,100.0,798846.0,0.013437248051599071,1
1051,0.8501348645909319,0.7839532641220697,0.03124972906439507,0.4355246989160291,23.372489808438285,798366.0,0.017199677506046784,1
1051,1.0,1.0,0.2750063705210543,0.0,100.0,798871.0,0.9551195915076592,5
1051,0.8441279279273839,1.0,0.034345538561890356,0.4433146272449248,100.0,798536.0,0.018543402311206658,2
1051,0.0865979898253606,0.1320231690576929,0.0,0.007592195196328533,100.0,798644.5,0.929991937651169,4
1051,0.04686421668747198,0.5302733450958761,0.813082476203272,0.8003383407638117,56.29898673927474,1000000.0,1.0,8
1051,1.0,0.7838536771107893,0.0,0.5855978826200181,10.864818515409022,912924.0,0.009674818597151358,5
1051,1.0,0.899066648632723,0.0019131988098004759,0.35602362218482236,1.7255010932188328,861437.0,0.00913732867508732,3
1051,1.0,0.7904399096101062,0.1826406650273959,0.0,100.0,764267.0,0.9509540446116636,2
1051,0.9636974286141078,0.6958289300049174,0.0,0.0,6.401472536385711,733324.0,0.9586132760010749,1
1051,0.9324483377973944,0.783588272235984,0.0,0.0,6.169792972530241,721458.0,0.9629131953775867,3
1051,0.7907130290018931,0.7420968566136974,0.0,0.5647100650431139,7.828808885326644,853199.0,0.009674818597151358,3
1051,0.961888315508665,0.7710113353131246,4.6260455530304923E-4,0.5726736139304589,5.758101643208384,831733.0,0.009406073636119339,2
1051,0.9147851745202544,0.11110152009265027,0.0,0.0,1.0,788133.5,0.8797366299381887,2
1051,0.8792774326700448,0.8775645975543546,0.13113988095904985,0.47433615052811307,1.0,823930.0,0.009943563558183266,3
1051,0.9942389836013219,0.8867232623183752,0.13343657113075483,0.16581964166172125,1.0,795796.0,0.24455791453910236,1
